T = 0.99, Acceptance = 0%
T = 0.99, Acceptance = 1%
T = 0.99, Acceptance = 1%
T = 0.99, Acceptance = 2%
T = 0.99, Acceptance = 2%
T = 0.99, Acceptance = 3%
T = 0.99, Acceptance = 4%
T = 0.99, Acceptance = 5%
T = 0.99, Acceptance = 6%
T = 0.99, Acceptance = 7%
T = 0.99, Acceptance = 8%
T = 0.99, Acceptance = 9%
T = 0.99, Acceptance = 9%
T = 0.99, Acceptance = 10%
T = 0.99, Acceptance = 11%
T = 0.99, Acceptance = 12%
T = 0.99, Acceptance = 13%
T = 0.99, Acceptance = 14%
T = 0.99, Acceptance = 15%
T = 0.99, Acceptance = 15%
T = 0.99, Acceptance = 16%
T = 0.99, Acceptance = 16%
T = 0.99, Acceptance = 17%
T = 0.99, Acceptance = 18%
T = 0.99, Acceptance = 19%
T = 0.99, Acceptance = 19%
T = 0.99, Acceptance = 19%
T = 0.99, Acceptance = 19%
T = 0.99, Acceptance = 20%
T = 0.99, Acceptance = 21%
T = 0.99, Acceptance = 21%
T = 0.99, Acceptance = 22%
T = 0.99, Acceptance = 23%
T = 0.99, Acceptance = 24%
T = 0.99, Acceptance = 25%
T = 0.99, Acceptance = 26%
T = 0.99, Acceptance = 27%
T = 0.99, Acceptance = 28%
T = 0.99, Acceptance = 29%
T = 0.99, Acceptance = 30%
T = 0.99, Acceptance = 31%
T = 0.99, Acceptance = 32%
T = 0.99, Acceptance = 33%
T = 0.99, Acceptance = 34%
T = 0.99, Acceptance = 35%
T = 0.99, Acceptance = 35%
T = 0.99, Acceptance = 35%
T = 0.99, Acceptance = 36%
T = 0.99, Acceptance = 37%
T = 0.99, Acceptance = 38%
T = 0.99, Acceptance = 38%
T = 0.99, Acceptance = 38%
T = 0.99, Acceptance = 39%
T = 0.99, Acceptance = 40%
T = 0.99, Acceptance = 41%
T = 0.99, Acceptance = 42%
T = 0.99, Acceptance = 43%
T = 0.99, Acceptance = 44%
T = 0.99, Acceptance = 45%
T = 0.99, Acceptance = 46%
T = 0.99, Acceptance = 47%
T = 0.99, Acceptance = 48%
T = 0.99, Acceptance = 49%
T = 0.99, Acceptance = 50%
T = 0.99, Acceptance = 50%
T = 0.99, Acceptance = 51%
T = 0.99, Acceptance = 52%
T = 0.99, Acceptance = 53%
T = 0.99, Acceptance = 54%
T = 0.99, Acceptance = 55%
T = 0.99, Acceptance = 56%
T = 0.99, Acceptance = 56%
T = 0.99, Acceptance = 57%
T = 0.99, Acceptance = 58%
T = 0.99, Acceptance = 59%
T = 0.99, Acceptance = 59%
T = 0.99, Acceptance = 60%
T = 0.99, Acceptance = 61%
T = 0.99, Acceptance = 62%
T = 0.99, Acceptance = 63%
T = 0.99, Acceptance = 64%
T = 0.99, Acceptance = 65%
T = 0.99, Acceptance = 66%
T = 0.99, Acceptance = 66%
T = 0.99, Acceptance = 67%
T = 0.99, Acceptance = 67%
T = 0.99, Acceptance = 68%
T = 0.99, Acceptance = 69%
T = 0.99, Acceptance = 70%
